STT,Gene_Name
1,200038_s_at
2,200046_at
3,200056_s_at
4,200060_s_at
5,202413_s_at
6,202417_at
7,203189_s_at
8,203211_s_at
9,203243_s_at
10,203258_at
11,203320_at
12,203333_at
13,203350_at
14,205253_at
15,205259_at
16,210640_s_at
17,210655_s_at
18,210689_at
19,210694_s_at
20,210704_at
21,210715_s_at
22,210733_at
23,210756_s_at
24,210763_x_at
25,210766_s_at
26,210770_s_at
27,210771_at
28,210778_s_at
29,210782_x_at
30,210793_s_at
31,210928_at
32,210938_at
33,210940_s_at
34,210959_s_at
35,210965_x_at
36,210968_s_at
37,210976_s_at
38,210977_s_at
39,210994_x_at
40,210996_s_at
41,211005_at
42,211010_s_at
43,211056_s_at
44,211080_s_at
45,211098_x_at
46,217263_x_at
47,217264_s_at
48,217272_s_at
49,217275_at
50,219486_at
51,219502_at
52,219515_at
53,219521_at
54,219540_at
55,219568_x_at
56,219585_at
57,219596_at
58,219605_at
59,219615_s_at
60,635_s_at
61,65493_at
62,65588_at
63,65718_at
64,823_at
65,91682_at
66,AFFX-r2-Bs-phe-5_at
67,AFFX-r2-Ec-bioB-M_at
68,AFFX-r2-P1-cre-5_at
